Commentaire ID,Texte du commentaire
UgwtKsSfhEBWr3wCvkl4AaABAg,J&#39;ai écouté cette mélodie 40 fois❤ 🎉
UgwH8STaXAKh-96syaJ4AaABAg,❤❤❤❤❤
UgwfseW91BVb74VgrWJ4AaABAg,Naza merci pour ce hits tu sais pas comment on sait retrouver dans ta voix merci beaucoup 😭😭😭
UgxR8nvPRZ7A7DV2iKx4AaABAg,Vraiment
UgysVidpDO9E1SGstBh4AaABAg,"La voix de Naza...on s&#39;en pas rend compte, pas vrai ?"
UgyXWw3y705SFe-gXYt4AaABAg,"Un chef d&#39;œuvre musical , VOIX + TEXTE + MELODIE 100/20 J imagine le live avec de l&quot;acoustique, waouh chapeau l&#39;artiste."
UgwSVAqOBDkGAeOuYUx4AaABAg,Ouai NAZA j&#39;aime tes son mamanagai
UgxhYVGQJ5S7ark7iu94AaABAg,😔😔😔
Ugx6VlWASFLfS1x8hRV4AaABAg,Ces son mais fais pleurer car je viens de perdre ma petite sœur chérie 😫
UgwciWM7ObNHpfEBTDt4AaABAg,❤❤❤ trop d&#39;émotions
Ugwjq5Fyy_gXM8MzaBx4AaABAg,Oui l&#39;artiste merci beaucoup pour cette mélodie 😍😍
UgyUPZCQ4ZgUtHFqSWp4AaABAg,El naza t le meilleur 🎉
UgzZK0rlXVh_ZT5Yh794AaABAg,Ce sont m’a juste rappelé mon passé et j’avoue que je me sens mal
UgxlasqS45w01mzgQ254AaABAg,@ humour @ humoriste kkkkkkkk  les soirées de loko le💯🇧🇪👂👂👍👍 Bruxelles Belgique força NAZA le Best of the best Fréro 🏆🌍💪💪💪un slm a Gradur le Fréro respect a vous la famille et bonne continuation 🎉🎉🎉🎉🎉
UgykR9lHD0Ppjz7ukL94AaABAg,"Wech le meilleur  loveur , pppppppaaa pppppppaaa respect a Toi tu es un poète la vérité toi tu mérites ce succès,👋🏾👍🏿👍🏿👍🏿👍🏿👍🏿👍🏿 PS vous avez déchirer toi NAZA FT JUL alias la Makina le J alias la suprême team ✨ 5 💯/💯🎯 D &amp;D💿💎🙋🏽‍♂️"
Ugxd2bobYjwprxfk90t4AaABAg,BANGER !
UgxYhf32rv2SW0HN5JF4AaABAg,"A toi maman ton départ a créé un énorme vide dans ma vie. J&#39;espère que tu vas bien, nous essaye de tenir . Je t&#39;aime ma copine ❤"
UgxwCrnPqMqYZFzY_Uh4AaABAg,"Dédicace a toi maman Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal 🤍 je taime forte de la ou tu es"
UgxDi9nkrb63KdXy1ap4AaABAg,Bonsoir c&#39;est vrai je suis d&#39;accord que c&#39;est un bon artiste
UgzZ36zzi46UmqVunJF4AaABAg,Qui va réparé çi je...❤🔥🙌
UgyeMgp2BUg2n-93iPZ4AaABAg,Naza the Boss
UgznUR7kvqOtOGzQDoB4AaABAg,Ça mérite plus de vu
Ugy4mEjY-58_FTsYtZJ4AaABAg,Naza 😪❤️🍯
Ugwdjw0NqT3rcKS78BN4AaABAg,Vidéo incroyable
UgzHF7HXH70ieLcKo_h4AaABAg,Je suis d&#39;accord champion 👍
UgzYOOT3Ey2iV63zj3t4AaABAg,wow this is amazing🥰
UgxKNca_O763n2v3CBN4AaABAg,Capricarolesque
UgzzSIcutV5XjalF_o54AaABAg,A mon papa et ma grand-mère qui me manque énormément 😢😢
UgyvSyDN74MZQJh8TvV4AaABAg,Parfois il a des chansons tu as l&#39;impression que ça t&#39;ai destiné 😢😢
UgzpZq4l3yeSVux_KQh4AaABAg,Plein d&#39;émotions merci @naza
UgxU2NuNZ7s145HHGHp4AaABAg,"Bobo<br>Qui va réparer si j&#39;ai bobo? (Ouh, j&#39;ai mal)<br>Qui? Bobo<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal<br><br>J&#39;ai pensé pouvoir décoller sans atterrir<br>Depuis qu&#39;t&#39;es partie, j&#39;ai perdu le goût de rire<br>J&#39;gardais la face devant les gens, oui, mais le pire<br>C&#39;est qu&#39;j&#39;suis condamné à le penser sans le dire<br><br>Oui, j&#39;ai mal (j&#39;ai mal)<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal (j&#39;ai mal)<br>J&#39;ai mal (j&#39;ai mal)<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal (j&#39;ai mal)<br><br>T&#39;as laissé un vide que je ne pourrais pas remplir<br>J&#39;préfère le chanter à défaut de te l&#39;écrire<br>Le ciel t&#39;a repris dans ses bras sans prévenir<br>Mais c&#39;est avec toi que j&#39;voulais bâtir un empire<br><br>Oui, bobo<br>Qui va réparer si j&#39;ai bobo?<br>Qui? Bobo<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal<br><br>Oui, j&#39;ai mal (j&#39;ai mal)<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal (j&#39;ai mal)<br>J&#39;ai mal (j&#39;ai mal)<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal (depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal)<br><br>Bobo<br>Qui va réparer si j&#39;ai bobo?<br>Qui? Bobo<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal<br><br>Oui, j&#39;ai mal<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal (j&#39;ai mal)<br>J&#39;ai mal<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal<br><br>Bobo<br>Qui va réparer si j&#39;ai bobo? (Ouh, j&#39;ai mal)<br>Qui? Bobo<br>Depuis qu&#39;t&#39;es partie, tu sais, j&#39;ai mal"
UgyywvAZLVx83qLDCIB4AaABAg,Il faut plusieurs avions pour te faire décoller naza bravo<br>La mort ne tue pas l&#39;amour
UgyZOo4soAI_B0rlKex4AaABAg,😢😢😢😢😢😢 je mal
UgwWvmSZ-YxQTCM6OLh4AaABAg,❤❤
UgzEt9m2EMNrECQ1Ktx4AaABAg,Super ❤❤❤❤❤🎉
UgxTVnqwTtf2G1mrANF4AaABAg,c&#39;est pour me tuer ce son ?
Ugy3dXsq7il2Tl188B54AaABAg,Moi aussi j&#39;ai mal 😖
UgxSCuRZ0mji-Ozr2kx4AaABAg,😍🤩🔥🔥💯
Ugycou8KWH5v5BAQqJN4AaABAg,Toujours la grosse force à toi naza 🦾🙏🏾
UgyVXI0OCwI1_98sMkV4AaABAg,🔥🔥🔥🔥
UgyjKvRL1xyeLJ3lFN94AaABAg,En vrai il y a que les les vrai qui comprennes sa
UgwNPfldOloxc3J0L2J4AaABAg,😂
UgzuUAjIm1hcWzIiE7J4AaABAg,"Une pensée forte à tous ceux qui ont    <a href=""https://www.youtube.com/watch?v=HRgqLZJSwso&amp;t=110"">1:50</a>  perdu papa❤❤"
UgzgQSH9d_6bHm_8Nv14AaABAg,📀📀📀
Ugzu8XX9u9S2Z9u4FJF4AaABAg,Mais naza t’es un fou toi <br>Vas-y sors nous des classiques comme celui-ci plus souvent<br>Why t’es trop calme?
UgzfRCauVk1u6H2kYVR4AaABAg,j’ai mal sans toi Julien😢
Ugwnq7fppxyBwbagETp4AaABAg,J&#39;adore 🔥
UgzFu9id28xv7-fwA_V4AaABAg,@ltjs
Ugwy8-dCq2_waITCI5Z4AaABAg,Maman na ngai cette voix hein 🤯🤯🤯😍
Ugy4axUoqKIbbL_mjkx4AaABAg,Tout simplement majestueux cette mélodie🎶✅👊🏾
UgzoOeHXIqFvBnwQ30t4AaABAg,Amen
UgweQrJ4KMMdGEW46fR4AaABAg,❤❤❤
UgwZNtDzYl9EJTF4srZ4AaABAg,Je suis là grâce a Théodore
UgzCWL2id7rCOPymreV4AaABAg,Naza king
UgxOauVFbEM-9dK9TGt4AaABAg,Honnetement je trouve que c la meilleure chanson de vous
Ugy7fTaApublTxbTO-l4AaABAg,L&#39; ange de la musique  Naaaaaaaaaaaazaaaaaaaaaa CI
UgxTt3MMkV5uL50myrl4AaABAg,"Si tu tombe là dessus grosse dinde 🦃 je serais toujours là , l’âme qui me fallait , l’âme qui me faut 🥊🫶🏼🐢 <a href=""http://www.youtube.com/results?search_query=%23tontechnicienenreparationdebobos"">#tontechnicienenreparationdebobos</a>"
Ugz7hwmu7s_sXccPgax4AaABAg,Dope
UgzcVSpJdNF7ijK4DeJ4AaABAg,Il a tout dit 😭😭😭😭
UgweC-5W7khQVWsHNJJ4AaABAg,Il a tout dit 😭😭😭😭
UgxcIkrFGcyqv9GS2-54AaABAg,Moi c&#39;est aux oreilles que j&#39;ai mal ...
UgwILUbMjv65DnWVNLV4AaABAg,😊
Ugz1NGvyAyi5u6M3zPh4AaABAg,The BigHim naza you the best
Ugy5XtczEQUht0vrNcF4AaABAg,Naza mwana boka
Ugwa3Brdutpll-Q-4Bx4AaABAg,"J&#39;aime beaucoup cet homme, il prend pas la grosse tête et il est simple 😌👌🏽🍀 bon chanteur pas de vulgarité."
UgxyCsXlcQ5OYszLOKd4AaABAg,"J&#39;aime beaucoup cet homme, il prend pas la grosse tête et il est simple 😌👌🏽🍀 bon chanteur pas de vulgarité."
UgyhIwKFnsIvZarTxO94AaABAg,Pk il la mal il la de la tune il a tous ce qui veux mdr c&#39;est co une musique pour les femme
Ugw-W2AL-5PhaOyqhhd4AaABAg,Zena trop fort
UgxXwhTKiqAu7-SDehV4AaABAg,À tout ceux qui ont perdus des êtres chers
UgzwA0fkpTKD7Cxq0Nl4AaABAg,Sayer vas jouer a fut c’est mieux
UgyG9HK8BTfgu5tzEsN4AaABAg,J&#39;ai mal quand naza me répond pas 😢😂
UgxjNDaoVxQoLbl72Y94AaABAg,Naza tu es trop fort mon ga 🇨🇬🔥
Ugxg7Ws9lhhhM27ynNF4AaABAg,🐧
UgyKw46Oc9brjBwdFAR4AaABAg,Son vrai côté congolais 🔥
UgwykzCS2tGnn021SYl4AaABAg,Banger !!! 🎶🍉🍯
UgweDs5UKzeAgbODE2x4AaABAg,❤❤❤❤
UgyKyInQh5SOkKlJiDN4AaABAg,Ba prend un Doliprane frère
UgyHke7o6avzqRgn6bd4AaABAg,Encore une fois Naza nous offrent une master class et prouve une fois de plus qu&#39;il peut s&#39;adapter et chanter sur ce qu&#39;il veut ❤‍🔥PS: n&#39;hésiter à donner de la force en venant écouter ce que je fais sur YouTube 🤗😜
Ugxt196u6WLWmsP1km54AaABAg,"Meu idolo fiquei com saudades de vc, até emagreceu!"
Ugym5-Syneu2xcJtLM14AaABAg,Manques juste une parti kompa
UgyCXDDIgTnt2VHCssp4AaABAg,J’imagine le remix de ce morceau avec la voix de ferre gola en refrain dingriiiiiiiii
UgwS7feGJ0q05m1Nx5t4AaABAg,Esta a otro nivel 💪🏻🔥
UgxKdUVbkfQBJYq0VFV4AaABAg,Je n&#39;arrête pas à l&#39;écoute Naza ma tué 😭😭 from 🇨🇩🇨🇩🇨🇩 now in Tanzania 🇹🇿
UgxZLzsJrlXDksyjWk14AaABAg,Là Naza est revenu sur notre coup de cœur 🎉🎉🎉....continue comme ça
Ugweuc6QKg8FpeE-j394AaABAg,❤❤
UgxJYF1CW0MrYaEjRbx4AaABAg,Il fait rire Gradur et lui il vient chanter..  POURQUOI 🦧
Ugx8hA3h6W3pkxiUCfJ4AaABAg,Ses trop bien je ses pas pour quoi 🤩🤩🤩 des le début ses bien des que j&#39;écoute le début je trouve sa bien 😨😨 coment vous faites 🤩🤩🤩🤩🤩🤩🤩
UgzwCKnCGoqdZIaq8It4AaABAg,C&#39;est du lourd
Ugx6GgL1CwPs1dLyjPt4AaABAg,oh mon papa depuis t&#39;es parti j&#39;ai mal 💔💔
UgzIC5r1gQoMvsfSjrp4AaABAg,Merci bosss
Ugyx4YuLa2sFSe3NKRd4AaABAg,Trop mon gar
UgwZ6B2kwfT2l2h84rx4AaABAg,"Incroyable musique , vrai artiste"
UgwAVAPV-D08rZJa23B4AaABAg,Oui j&#39;ai mal mais j&#39;en suis la cause
Ugzm6aB5qmU3EqiJamR4AaABAg,Oui j&#39;ai mal mais j&#39;en suis la cause
UgwIVKofZ2QEiXfTa6V4AaABAg,trop d&#39;émotions 😍❤️
UgxsgyQshJKf94AUraN4AaABAg,Une D.I.N.G.U.E.R.I.E.
UgzkWXaGHNLsUu1ieVJ4AaABAg,Trop lourd en plus c un peu chaud avec ma femme en ce moment sa me fait des frissons kan je l&#39;écoute force a toi mon frere
UgwnLy2ok9qBup8IxfB4AaABAg,Très lourd ❤ merci pour ce son ❤
Ugxi2yC2uGijfbS0CoB4AaABAg,Un tueur comme toujours ❤❤❤🧚🏾‍♂️💯🥲🙏🏾🔥
UgyU2zKHjC4qqgJwz194AaABAg,De la douce mélodie pour les oreilles 😘
UgxvPMv2aO3AQ9rb7il4AaABAg,😢naza 😢❤️‍🩹
UgxZ7FONjZVOg8686ht4AaABAg,Moi aussi j’ai mal il me manque 😊
UgwgvbqIZEo-mvA10pZ4AaABAg,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>Le médecin congolais s’acharne depuis plus de vingt ans à alerter sur ce qui se passe, entre autres provinces, dans son Sud-Kivu natal. Son combat lui a valu le prix Sakharov puis le Nobel de la paix en 2018, mais aussi le malheur de vivre sous la menace constante d’un assassinat. En 2012, le gardien de sa maison a été abattu en tentant de le protéger. Depuis, Denis Mukwege vit sous la double protection des casques bleus de la Monusco et des policiers congolais, au sein même de son hôpital, confiné avec ses"
UgyWEXkzwx9bd4OYJ8J4AaABAg,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/EvkfY6uNC5OykQOewoCQAQ""></a>« Des vagins détruits »<br>« Le temps passe et la condition des femmes ne s’améliore pas », se désole Léa Nabintou, infirmière depuis 2008 au sein du pavillon : « On continue de voir arriver des vagins détruits par introduction d’armes, d’objets contondants et de morceaux de bois, comme c’était le cas dans les années 2000. » La robuste soignante peine à cacher sa grande fatigue psychique : « Toutes ces histoires, ça me rend parfois agressive envers les hommes. Quand c’est trop, je vais voir le psychologue de l’hôpital. »"
UgwhiimA9W1zU0LBLyN4AaABAg,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>« Des vagins détruits »<br>« Le temps passe et la condition des femmes ne s’améliore pas », se désole Léa Nabintou, infirmière depuis 2008 au sein du pavillon : « On continue de voir arriver des vagins détruits par introduction d’armes, d’objets contondants et de morceaux de bois, comme c’était le cas dans les années 2000. » La robuste soignante peine à cacher sa grande fatigue psychique : « Toutes ces histoires, ça me rend parfois agressive envers les hommes. Quand c’est trop, je vais voir le psychologue de l’hôpital. »"
UgwHWrHyjlHa70FsYNl4AaABAg,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>C’est grâce au signalement des médecins du village que sa fille a pu être transférée à l’hôpital de Panzi, situé à Bukavu, dans l’est de la République démocratique du Congo (RDC). Au sein de la structure bâtie sur les hauteurs de la capitale du Sud-Kivu et dirigée par Denis Mukwege depuis sa création en 1999, une aile est dédiée aux victimes de violences sexuelles. Le pavillon des survivantes héberge deux immenses salles d’hospitalisation, avec une centaine de lits alignés les uns à côté des autres, ce qui lui confère une allure d’hôpital de campagne."
UgxsGd1WvDEtVoD7b_N4AaABAg,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/clock-turquoise-looking-up""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/clock-turquoise-looking-up""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/clock-turquoise-looking-up""></a>Même quand les conflits cessent, le viol se perpétue » : en RDC, le fléau des violences sexuelles"
Ugxd4w74IvBq8DOfS-d4AaABAg,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/penguin-blue-waving-tear""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/penguin-blue-waving-tear""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/penguin-blue-waving-tear""></a>Même quand les conflits cessent, le viol se perpétue » : en RDC, le fléau des violences sexuelles"
UgwgMrDYWu22F3ff5CN4AaABAg,"LES PALESTINIENS PAS CHANTE LA GUERRE CONTRE LE GENOCIDE D ISRAEL EUX LES KONGOLAIS FONT DES MUSIC A L EAU DE ROSE ALORS QUE LE GENOCIDE O KONGO EST L UN DES PIRE DANS L HISTOIRE DU MONDE 12 000 000 MILLIONS DE MORTS ET DES MILLIERS DE FEMME VIOLEE ET LES KONGOLAIS CHANTE QUE L AMOUR A L EAU DE ROSE <a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a>C EST QUOI CEUX PEUPLE BIZARRE <a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/W8IfY_bwAfiPq7IPvNCA2AU""></a>LES UKRAINIENS PALESTINIENS CHANTE PAS L AMOUR ON VEUT LES EXTERMINER ILS SONT CONSCIENT <a href=""UCkszU2WH9gy1mb0dV-11UJg/UvgfY_vqE92T29sPvqiAkAU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/UvgfY_vqE92T29sPvqiAkAU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/UvgfY_vqE92T29sPvqiAkAU""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a>"
